"IDcliente","datatransazione","acquisto","quantita"
"1","2023-10-25","ProdottoP","2"
"2","2023-11-19","ProdottoQ","4"
"3","2023-06-15","ProdottoR","3"
"4","2023-09-02","ProdottoS","2"
"5","2023-08-20","ProdottoT","5"
"6","2023-01-14","ProdottoU","5"
"7","2023-12-17","ProdottoV","3"
"8","2023-12-06","ProdottoW","4"
"9","2023-01-13","ProdottoX","3"
"10","2023-04-09","ProdottoY","6"
"1","2023-10-30","ProdottoZ","3"
"2","2023-04-30","ProdottoAA","4"
"3","2023-10-05","ProdottoBB","2"
"4","2023-07-07","ProdottoCC","1"
"5","2023-12-06","ProdottoDD","3"
"6","2023-01-22","ProdottoEE","2"
"7","2023-09-19","ProdottoFF","1"
"8","2023-02-02","ProdottoGG","3"
"9","2023-03-30","ProdottoHH","3"
"10","2023-10-16","ProdottoII","1"